sample,voice_source,masking_level,hidden,trial,wake_word_activated,command_executed_correctly,notes
human_joke_light_hidden.wav,human,light,yes,1,,,
human_joke_light_hidden.wav,human,light,yes,2,,,
human_joke_light_hidden.wav,human,light,yes,3,,,
human_joke_light_hidden.wav,human,light,yes,4,,,
human_joke_light_hidden.wav,human,light,yes,5,,,

human_music_light_hidden.wav,human,light,yes,1,,,
human_music_light_hidden.wav,human,light,yes,2,,,
human_music_light_hidden.wav,human,light,yes,3,,,
human_music_light_hidden.wav,human,light,yes,4,,,
human_music_light_hidden.wav,human,light,yes,5,,,

human_oneminute_light_hidden.wav,human,light,yes,1,,,
human_oneminute_light_hidden.wav,human,light,yes,2,,,
human_oneminute_light_hidden.wav,human,light,yes,3,,,
human_oneminute_light_hidden.wav,human,light,yes,4,,,
human_oneminute_light_hidden.wav,human,light,yes,5,,,

human_time_light_hidden.wav,human,light,yes,1,,,
human_time_light_hidden.wav,human,light,yes,2,,,
human_time_light_hidden.wav,human,light,yes,3,,,
human_time_light_hidden.wav,human,light,yes,4,,,
human_time_light_hidden.wav,human,light,yes,5,,,

human_weather_light_hidden.wav,human,light,yes,1,,,
human_weather_light_hidden.wav,human,light,yes,2,,,
human_weather_light_hidden.wav,human,light,yes,3,,,
human_weather_light_hidden.wav,human,light,yes,4,,,
human_weather_light_hidden.wav,human,light,yes,5,,,

tts_joke_light_hidden.wav,tts,light,yes,1,,,
tts_joke_light_hidden.wav,tts,light,yes,2,,,
tts_joke_light_hidden.wav,tts,light,yes,3,,,
tts_joke_light_hidden.wav,tts,light,yes,4,,,
tts_joke_light_hidden.wav,tts,light,yes,5,,,

tts_music_light_hidden.wav,tts,light,yes,1,,,
tts_music_light_hidden.wav,tts,light,yes,2,,,
tts_music_light_hidden.wav,tts,light,yes,3,,,
tts_music_light_hidden.wav,tts,light,yes,4,,,
tts_music_light_hidden.wav,tts,light,yes,5,,,

tts_oneminute_light_hidden.wav,tts,light,yes,1,,,
tts_oneminute_light_hidden.wav,tts,light,yes,2,,,
tts_oneminute_light_hidden.wav,tts,light,yes,3,,,
tts_oneminute_light_hidden.wav,tts,light,yes,4,,,
tts_oneminute_light_hidden.wav,tts,light,yes,5,,,

tts_time_light_hidden.wav,tts,light,yes,1,,,
tts_time_light_hidden.wav,tts,light,yes,2,,,
tts_time_light_hidden.wav,tts,light,yes,3,,,
tts_time_light_hidden.wav,tts,light,yes,4,,,
tts_time_light_hidden.wav,tts,light,yes,5,,,

tts_weather_light_hidden.wav,tts,light,yes,1,,,
tts_weather_light_hidden.wav,tts,light,yes,2,,,
tts_weather_light_hidden.wav,tts,light,yes,3,,,
tts_weather_light_hidden.wav,tts,light,yes,4,,,
tts_weather_light_hidden.wav,tts,light,yes,5,,,

human_joke_strong_hidden.wav,human,strong,yes,1,,,
human_joke_strong_hidden.wav,human,strong,yes,2,,,
human_joke_strong_hidden.wav,human,strong,yes,3,,,
human_joke_strong_hidden.wav,human,strong,yes,4,,,
human_joke_strong_hidden.wav,human,strong,yes,5,,,

human_music_strong_hidden.wav,human,strong,yes,1,,,
human_music_strong_hidden.wav,human,strong,yes,2,,,
human_music_strong_hidden.wav,human,strong,yes,3,,,
human_music_strong_hidden.wav,human,strong,yes,4,,,
human_music_strong_hidden.wav,human,strong,yes,5,,,

human_oneminute_strong_hidden.wav,human,strong,yes,1,,,
human_oneminute_strong_hidden.wav,human,strong,yes,2,,,
human_oneminute_strong_hidden.wav,human,strong,yes,3,,,
human_oneminute_strong_hidden.wav,human,strong,yes,4,,,
human_oneminute_strong_hidden.wav,human,strong,yes,5,,,

human_time_strong_hidden.wav,human,strong,yes,1,,,
human_time_strong_hidden.wav,human,strong,yes,2,,,
human_time_strong_hidden.wav,human,strong,yes,3,,,
human_time_strong_hidden.wav,human,strong,yes,4,,,
human_time_strong_hidden.wav,human,strong,yes,5,,,

human_weather_strong_hidden.wav,human,strong,yes,1,,,
human_weather_strong_hidden.wav,human,strong,yes,2,,,
human_weather_strong_hidden.wav,human,strong,yes,3,,,
human_weather_strong_hidden.wav,human,strong,yes,4,,,
human_weather_strong_hidden.wav,human,strong,yes,5,,,

tts_joke_strong_hidden.wav,tts,strong,yes,1,,,
tts_joke_strong_hidden.wav,tts,strong,yes,2,,,
tts_joke_strong_hidden.wav,tts,strong,yes,3,,,
tts_joke_strong_hidden.wav,tts,strong,yes,4,,,
tts_joke_strong_hidden.wav,tts,strong,yes,5,,,

tts_music_strong_hidden.wav,tts,strong,yes,1,,,
tts_music_strong_hidden.wav,tts,strong,yes,2,,,
tts_music_strong_hidden.wav,tts,strong,yes,3,,,
tts_music_strong_hidden.wav,tts,strong,yes,4,,,
tts_music_strong_hidden.wav,tts,strong,yes,5,,,

tts_oneminute_strong_hidden.wav,tts,strong,yes,1,,,
tts_oneminute_strong_hidden.wav,tts,strong,yes,2,,,
tts_oneminute_strong_hidden.wav,tts,strong,yes,3,,,
tts_oneminute_strong_hidden.wav,tts,strong,yes,4,,,
tts_oneminute_strong_hidden.wav,tts,strong,yes,5,,,

tts_time_strong_hidden.wav,tts,strong,yes,1,,,
tts_time_strong_hidden.wav,tts,strong,yes,2,,,
tts_time_strong_hidden.wav,tts,strong,yes,3,,,
tts_time_strong_hidden.wav,tts,strong,yes,4,,,
tts_time_strong_hidden.wav,tts,strong,yes,5,,,

tts_weather_strong_hidden.wav,tts,strong,yes,1,,,
tts_weather_strong_hidden.wav,tts,strong,yes,2,,,
tts_weather_strong_hidden.wav,tts,strong,yes,3,,,
tts_weather_strong_hidden.wav,tts,strong,yes,4,,,
tts_weather_strong_hidden.wav,tts,strong,yes,5,,,
